author,name,rank,date
Daniel Powter,Bad Day,1,2006
Sean Paul,Temperature,2,2006
Nelly Furtado Featuring Timbaland,Promiscuous,3,2006
James Blunt,You're Beautiful,4,2006
Shakira Featuring Wyclef Jean,Hips Don't Lie,5,2006
Natasha Bedingfield,Unwritten,6,2006
Gnarls Barkley,Crazy,7,2006
Chamillionaire Featuring Krayzie Bone,Ridin',8,2006
Justin Timberlake,SexyBack,9,2006
Beyonce Featuring Slim Thug,Check On It,10,2006
Mary J. Blige,Be Without You,11,2006
"Nelly Featuring Paul Wall, Ali & Gipp",Grillz,12,2006
The Fray,Over My Head (Cable Car),13,2006
Cassie,Me & U,14,2006
The Pussycat Dolls Featuring Snoop Dogg,Buttons,15,2006
Chris Brown,Run It!,16,2006
Ne-Yo,So Sick,17,2006
Yung Joc,It's Goin' Down,18,2006
Rihanna,SOS,19,2006
Panic! At The Disco,I Write Sins Not Tragedies,20,2006
The All-American Rejects,Move Along,21,2006
Fergie,London Bridge,22,2006
Red Hot Chili Peppers,Dani California,23,2006
Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Snap Yo Fingers,24,2006
Dem Franchize Boyz Featuring Lil Peanut & Charlay,"Lean Wit It, Rock Wit It",25,2006
Rascal Flatts,What Hurts The Most,26,2006
The Fray,How To Save A Life,27,2006
Rihanna,Unfaithful,28,2006
Snow Patrol,Chasing Cars,29,2006
Hinder,Lips Of An Angel,30,2006
Cascada,Everytime We Touch,31,2006
Christina Aguilera,Ain't No Other Man,32,2006
Fall Out Boy,"Dance, Dance",33,2006
Kanye West Featuring Jamie Foxx,Gold Digger,34,2006
Ludacris Featuring Pharrell,Money Maker,35,2006
Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Ms. New Booty,36,2006
Sean Paul Featuring Keyshia Cole,(When You Gonna) Give It Up To Me,37,2006
Nickelback,Photograph,38,2006
Kelly Clarkson,Because Of You,39,2006
The Pussycat Dolls,Stickwitu,40,2006
T-Pain Featuring Mike Jones,I'm N Luv (Wit A Stripper),41,2006
The Black Eyed Peas,My Humps,42,2006
Fort Minor Featuring Holly Brook,Where'd You Go,43,2006
Chris Brown,Yo (Excuse Me Miss),44,2006
Kelly Clarkson,Walk Away,45,2006
D4L,Laffy Taffy,46,2006
T.I.,What You Know,47,2006
The All-American Rejects,Dirty Little Secret,48,2006
Nickelback,Savin' Me,49,2006
Mariah Carey,Don't Forget About Us,50,2006
Ne-Yo,Sexy Love,51,2006
E-40 Featuring T-Pain & Kandi Girl,U And Dat,52,2006
Nickelback,Far Away,53,2006
Nick Lachey,What's Left Of Me,54,2006
Field Mob Featuring Ciara,So What,55,2006
Cherish Featuring Sean Paul Of The YoungBloodZ,Do It To It,56,2006
KT Tunstall,Black Horse & The Cherry Tree,57,2006
Juelz Santana,There It Go! (The Whistle Song),58,2006
Young Dro Featuring T.I.,Shoulder Lean,59,2006
Jamie Foxx Featuring Ludacris,Unpredictable,60,2006
Justin Timberlake Featuring T.I.,My Love,61,2006
Eminem Featuring Nate Dogg,Shake That,62,2006
Chingy Featuring Tyrese,Pullin' Me Back,63,2006
Kelis Featuring Too $hort,Bossy,64,2006
Jibbs,Chain Hang Low,65,2006
Akon Featuring Eminem,Smack That,66,2006
Ray J,One Wish,67,2006
Fall Out Boy,"Sugar, We're Goin' Down",68,2006
Chris Brown Featuring Lil Wayne,Gimme That,69,2006
Yung Joc Featuring Brandy 'Ms. B.' Hambrick,I Know You See It,70,2006
Bon Jovi,Who Says You Can't Go Home,71,2006
JoJo,Too Little Too Late,72,2006
Busta Rhymes,Touch It,73,2006
Daddy Yankee,Rompe,74,2006
Beyonce Featuring Jay Z,Deja Vu,75,2006
Rascal Flatts,Life Is A Highway,76,2006
Evanescence,Call Me When You're Sober,77,2006
Carrie Underwood,"Jesus, Take The Wheel",78,2006
Danity Kane,Show Stopper,79,2006
Ciara Featuring Chamillionaire,Get Up,80,2006
Sean Paul,We Be Burnin',81,2006
Blue October,Hate Me,82,2006
Lifehouse,You And Me,83,2006
The Pussycat Dolls Featuring will.i.am,Beep,84,2006
"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",I Think They Like Me,85,2006
Chris Brown,Say Goodbye,86,2006
John Mayer,Waiting On The World To Change,87,2006
Young Jeezy Featuring Akon,Soul Survivor,88,2006
The Black Eyed Peas,Pump It,89,2006
Eminem,When I'm Gone,90,2006
Madonna,Hung Up,91,2006
Three 6 Mafia Featuring Young Buck & Eightball & MJG,Stay Fly,92,2006
Keyshia Cole,Love,93,2006
Ne-Yo,When You're Mad,94,2006
T.I.,Why You Wanna,95,2006
P!nk,Stupid Girls,96,2006
Gorillaz,Feel Good Inc,97,2006
T-Pain,I'm Sprung,98,2006
Taylor Hicks,Do I Make You Proud,99,2006
Teddy Geiger,For You I Will (Confidence),100,2006
Beyonce,Irreplaceable,1,2007
Rihanna Featuring Jay-Z,Umbrella,2,2007
