author,name,rank,date,duration,id,popularity,album_Name,albumType,releaseDate,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,timeSig
Daniel Powter,Bad Day,1,2006,233640,0mUyMawtxj1CJ76kn9gIZK,77,Daniel Powter,album,2005-02-22,False,0.599,0.785,3,-4.013,1,0.0309,0.448,0.00336,0.151,0.52,140.046,4
Sean Paul,Temperature,2,2006,218573,0k2GOhqsrxDTAbFFSdNJjT,83,The Trinity,album,2005-09-26,False,0.951,0.6,0,-4.675,0,0.0685,0.106,0,0.0712,0.822,125.04,4
Nelly Furtado Featuring Timbaland,Promiscuous,3,2006,242293,2gam98EZKrF9XuOkU13ApN,87,Loose,album,2006-01-01,False,0.808,0.97,10,-6.098,0,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,4
James Blunt,You're Beautiful,4,2006,209493,4DqttFAwDZlwWAHVWTOSIk,0,Mañanita Chill,compilation,2023-10-19,True,0.675,0.479,0,-9.87,0,0.0278,0.633,1.81e-05,0.0881,0.454,81.993,4
Shakira Featuring Wyclef Jean,Hips Don't Lie,5,2006,218093,3ZFTkvIE7kyPt6Nu3PEa7V,87,"Oral Fixation, Vol. 2 (Expanded Edition)",album,2005-11-28,False,0.778,0.824,10,-5.892,0,0.0707,0.284,0,0.405,0.758,100.024,4
Natasha Bedingfield,Unwritten,6,2006,259333,3U5JVgI2x4rDyHGObzJfNf,80,Unwritten,album,2004-08-30,False,0.706,0.8,5,-6.333,1,0.0399,0.00584,0,0.0822,0.629,100.011,4
Gnarls Barkley,Crazy,7,2006,182066,2N5zMZX7YeL1tico8oQxa9,76,St. Elsewhere,album,2006-05-02,False,0.835,0.741,8,-1.609,1,0.0339,0.0172,0.0577,0.0826,0.612,111.963,4
Chamillionaire Featuring Krayzie Bone,Ridin',8,2006,303053,3kZoay4ANo86ehb6s4RwS9,72,The Sound of Revenge,album,2005-01-01,True,0.787,0.799,8,-4.68,0,0.0993,0.189,0,0.3,0.835,143.052,4
Justin Timberlake,SexyBack,9,2006,242733,0O45fw2L5vsWpdsOdXwNAR,82,FutureSex/LoveSounds,album,2006-09-12,True,0.967,0.583,7,-5.562,0,0.0789,0.0584,0,0.0519,0.964,117.0,4
Beyonce Featuring Slim Thug,Check On It,10,2006,210453,2RWxrpsFshOBFwRBRstUlQ,61,B'Day,album,2006-09-04,False,0.705,0.796,7,-6.845,1,0.267,0.0708,0,0.388,0.864,166.042,4
